"data_kind","as_of","model_version","player_id","name","position","salary","status","mean_points","historical_p10","historical_p90","sample_size"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","atlas-qb","Atlas Quarterback","QB","7400","active","22.1500","20.0600","24.5050","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","atlas-rb","Atlas Running back","RB","6800","active","17.3881","13.5650","21.8650","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","atlas-wr-a","Atlas Receiver A","WR","6500","active","19.2959","16.5050","21.9300","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","atlas-wr-b","Atlas Receiver B","WR","4700","active","13.1401","10.1700","16.8400","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","atlas-te","Atlas Tight end","TE","4200","active","9.2435","7.5400","10.2700","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","atlas-dst","Atlas Defense","DST","3200","active","7.4270","4.2550","9.8850","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","orbit-qb","Orbit Quarterback","QB","7000","active","19.9771","16.8750","22.4750","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","orbit-rb","Orbit Running back","RB","6400","active","15.0768","14.3400","15.9600","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","orbit-wr-a","Orbit Receiver A","WR","6100","active","16.2515","13.2400","21.4750","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","orbit-wr-b","Orbit Receiver B","WR","4300","active","11.3548","7.0550","14.0150","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","orbit-te","Orbit Tight end","TE","3800","active","5.9471","4.9150","8.0800","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","orbit-dst","Orbit Defense","DST","2800","active","6.6766","1.8500","8.9200","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","harbor-qb","Harbor Quarterback","QB","7200","active","22.0411","17.6250","25.3050","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","harbor-rb","Harbor Running back","RB","6600","active","17.8395","13.6000","21.0800","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","harbor-wr-a","Harbor Receiver A","WR","6300","active","18.1097","15.9900","20.6200","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","harbor-wr-b","Harbor Receiver B","WR","4500","active","13.4609","9.3800","16.3900","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","harbor-te","Harbor Tight end","TE","4000","active","10.5922","9.2800","12.7800","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","harbor-dst","Harbor Defense","DST","3000","active","9.5262","5.6000","11.1450","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","summit-qb","Summit Quarterback","QB","7300","active","20.7114","16.0850","25.2750","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","summit-rb","Summit Running back","RB","6700","active","17.3886","13.0400","21.2400","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","summit-wr-a","Summit Receiver A","WR","6400","active","17.4314","13.9950","23.1450","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","summit-wr-b","Summit Receiver B","WR","4600","active","11.7835","9.4500","15.1900","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","summit-te","Summit Tight end","TE","4100","active","13.1730","11.7350","15.5800","6"
"synthetic","2026-09-22T16:00:00Z","synthetic-recency-mean-v1","summit-dst","Summit Defense","DST","3100","active","7.6088","5.5900","10.6750","6"
