"id","capability","scope","public_claim","evidence_kind","access_status","implementation","independent_plan","limitation","evidence_refs","access_evidence_refs","required_inputs","source_urls","observed_on"
"F01","Player projections","Sport and slate dependent","LineStar describes per-athlete DFS projections as an expected median outcome.","Vendor-described","Premium documented","Prototype","Independent recency-weighted mean of synthetic historical fantasy points. This is not a reconstruction of the vendor model.","A mean is not a median; no measured accuracy parity.","S04:median","S04:paid","Point-in-time game outcomes;Sport / operator scoring version","https://linestar.gitbook.io/linestar-app/feature-guides/dfs-projections","2026-09-22"
"F02","Consensus projections","Provider selection not disclosed","LineStar describes a weighted average of industry projections.","Vendor-described","Premium documented","Blocked","Blend only independently built or explicitly licensed forecasts after out-of-sample weight selection.","Contributors, weights, and reuse rights are not established.","S03:consensus","S04:paid","Licensed forecast sources;As-of timestamps","https://linestar.gitbook.io/linestar-app/overview/our-features;https://linestar.gitbook.io/linestar-app/feature-guides/dfs-projections","2026-09-22"
"F03","Changing conditions & expert review","Sport dependent","The guide describes updates for weather, lineup changes, and news, with sport-specific expert review of anomalous projections.","Vendor-described","Not verified","Prototype","Fixture quality checks fail closed for stale or invalid data; no automatic human override.","Autonomous operation cannot silently reproduce the vendor’s expert judgment.","S04:updates;S04:human","","Injury / lineup / weather events;Quality thresholds","https://linestar.gitbook.io/linestar-app/feature-guides/dfs-projections","2026-09-22"
"F04","Editable projections","Projection page","Users can replace a player projection.","Vendor-described","Not verified","Planned","Version and audit overrides; defaults must not require manual entry.","Not implemented in the public demo; no UI suggests a user override is a trained model.","S04:edit","","Versioned overrides","https://linestar.gitbook.io/linestar-app/feature-guides/dfs-projections","2026-09-22"
"F05","Projection CSV import / export","Selected provider / slate","The guide describes CSV export and import requiring column mapping and outlier-name resolution.","Vendor-described","Not verified","Prototype","Export our synthetic projections and lineups in a project-specific CSV format.","Import and operator-compatible upload formats are not implemented. Automatic name matching was overstated in the old repo.","S04:import;S04:names;S04:export","","Canonical player IDs;Schema mapping","https://linestar.gitbook.io/linestar-app/feature-guides/dfs-projections","2026-09-22"
"F06","Sorting, filtering & value","Projection page","The guide documents slate, game, team and position filters and projected points per $1,000 in salary.","Vendor-described","Not verified","Prototype","Projection lab supports position filtering and sorting by points, value, and salary.","Salary is synthetic. Value is not expected return.","S10:filter;S10:value","","Projection;Salary;Position","https://linestar.gitbook.io/linestar-app/feature-guides/sorting-filtering","2026-09-22"
"F07","Performance history","Mobile listing","The app listing describes graphs comparing recent performance with projections.","Vendor-described","Not verified","Prototype","Display a deterministic walk-forward fixture evaluation with timestamps and error metrics.","Synthetic error metrics test software, not real predictive performance.","S15:graph","","Historical forecasts;Final outcomes","https://apps.apple.com/us/app/linestar-for-dk-dfs/id933568931","2026-09-22"
"F08","Lineup optimization","DraftKings / FanDuel / Yahoo described","The guide describes using projections with platform-specific salaries, positions, and contest rules.","Vendor-described","Premium documented","Prototype","Exact small-pool search maximizes summed independent means under the demo roster constraints.","Demo roster is a project specification, not an audited operator integration. Patents still require counsel.","S05:platforms","S02:premium","Eligible slate pool;Salary cap;Roster rules","https://linestar.gitbook.io/linestar-app/feature-guides/lineup-optimizer;https://www.linestarapp.com/Pricing","2026-09-22"
"F09","Lock / exclude players","Optimizer","The guide documents locking chosen players and excluding unwanted players.","Vendor-described","Not verified","Prototype","Library enforces explicit slot locks and excluded IDs; late-swap scenario exercises slot preservation.","Library controls are tested; the UI presents fixed scenarios rather than every control.","S05:locks","","Canonical IDs;Saved roster slots","https://linestar.gitbook.io/linestar-app/feature-guides/lineup-optimizer","2026-09-22"
"F10","Multiple lineups & export","Optimizer","The guide advertises sets of 150+ lineups and export to supported operators.","Vendor-described","Premium documented","Prototype","Generate up to three distinct fixture lineups, export project CSV.","Small-pool prototype is not a 150-lineup production solver or an operator submission tool.","S05:sets;S05:export","S02:premium","Slate pool;Diversity rules","https://linestar.gitbook.io/linestar-app/feature-guides/lineup-optimizer;https://www.linestarapp.com/Pricing","2026-09-22"
